A00,XS,2Y,Default,19x55,8in,180x30 cm,SSN8,11oz,1C Twin (65x71),Triangle
A01,S,3Y,One size,44x66,10in,Round base 5.5x5.5,SSN9,3oz,1C Full (71x79),Spearhead
A02,M,4Y,Regular,11x17,12in,Round base 4.7x7,SSS10,8oz,1C Queen (75x83),Swallowtailed
A03,L,5Y,,12x18,59in,Rectangle base 6x9,SSS10+,3.3oz,1C King (81x91),Rectangle
A04,XL,6Y,,16x16,30in,Round 4.7x7,SSS6,8.4oz,US Baby Twin (60x80),Heart
A05,2XL,7Y,,16x24,36in,Round 5.5x5.5,SSS6E,12oz,Us Twin (68x88),Star
A06,3XL,8Y,,18x24,42in,Rec 6x9,SSS6E+,20oz,US Full (78x88),Oval
A07,5XL,9Y,,24x24,48in,Oval 6x9,SSS7,30oz,US Queen (88x88),Circle
A08,6XL,10Y,,24x36,3.9in,Engraved Round 4.7x7,SSS7E,,US King (104x88),Heart
A09,,6M,,30x30,4.9in,Engraved Round 5.5x5.5,SSS8,,AU Single (55x82),Snowflake
A10,,12M,,32x48,5.9in,Engraved Rec 6x9,SSS8+,,AU Double (71x82),Benelux
A11,,,,8x10,7.9in,Engraved Oval 6x9,SSS9,,AU Queen (82x82),Droplet
A12,,,,8x12,7.8in,,SSS9+,,AU King (86x94),Scooped
A13,,,,12x18,11.8in,,IP11,,UK Single (53x79),
A14,,,,16x20,13.7in,,IP11PRO,,UK Double (79x79),
A15,,,,16x24,17.7in,,IP11PROMAX,,UK King (91x87),
A16,,,,36x60,27in,,IP6,,UK Super King (102x87),
A17,,,,28x40,28in,,IP6S,,Twin,
A18,,,,18x12,29in,,IP6+,,Full,
A19,,,,24x18,30in,,IP7/8,,Queen,
A20,,,,14x14,32in,,IP7SE/8SE,,King,
A21,,,,18x18,34in,,IP7+/8+,,,
A22,,,,20x20,3in,,IPX,,,
A23,,,,28x28,3.9in Heart,,IPXR,,,
A24,,,,31x31,4.9in Heart,,IPXSMAX,,,
A25,,,,30x40,5.9in Heart,,IP12MINI,,,
A26,,,,47x35,3.9in Puzzle,,IP12PRO,,,
A27,,,,60x45,4.9in Puzzle,,IP12PROMAX,,,
A28,,,,50x60,5.9in Puzzle,,IP13PRO,,,
A29,,,,70x53,3.9in Butterfly,,IP13PROMAX,,,
A30,,,,60x80,4.9in Butterfly,,IP13,,,
A31,,,,15x25,5.9in Butterfly,,IP13MINI,,,
A32,,,,18x30,Circle 3in,,SSS21ULTRA,,,
A33,,,,20x35,,,SSS21+,,,
A34,,,,24x35,,,SSS21,,,
A35,,,,35x42,,,SSN20ULTRA,,,
A36,,,,45x60,,,SSS20+,,,
A37,,,,5.5x5.5,,,SSS20FE,,,
A38,,,,4.7x7,,,SSS20,,,
A39,,,,6x9,,,SSA52,,,
A40,,,,35x47,,,SSA32,,,
A41,,,,53x70,,,,,,
A42,,,,11x14,,,,,,
A43,,,,8x12,,,,,,
A44,,,,12x12,,,,,,
A45,,,,12x14,,,,,,
A46,,,,6x10,,,,,,
A47,,,,8x8,,,,,,
A48,,,,8x10,,,,,,
A49,,,,5x11,,,,,,
A50,,,,10x16,,,,,,
A51,,,,4x6,,,,,,
A52,,,,6x8,,,,,,
A53,,,,12x17.71,,,,,,
A54,,,,12x8,,,,,,
A55,,,,17.71x12,,,,,,
A56,,,,6x6,,,,,,
A57,,,,9x9,,,,,,
A58,,,,10x14,,,,,,
A59,,,,4x4,,,,,,
A60,,,,4.5x4.5,,,,,,
A61,,,,25x25,,,,,,
A62,,,,45x45,,,,,,
A63,,,,120x175,,,,,,
A64,,,,150x175,,,,,,
A65,,,,180x175,,,,,,
A66,,,,200x175,,,,,,
A67,,,,59x79,,,,,,
A68,,,,30x60,,,,,,
A69,,,,7x9,,,,,,
A70,,,,9x10,,,,,,
A71,,,,48x72,,,,,,
A72,,,,7.8x9.4,,,,,,
A73,,,,2.55x8.46,,,,,,
A74,,,,9x11,,,,,,
A75,,,,3x3,,,,,,
A76,,,,5x5,,,,,,
A77,,,,13x13,,,,,,
A78,,,,12x16,,,,,,
A79,,,,19x27,,,,,,
A80,,,,7x19,,,,,,
A81,,,,2x2,,,,,,
A82,,,,3x4.7,,,,,,
A83,,,,5x7,,,,,,
A84,,,,8x6,,,,,,
A85,,,,10x7,,,,,,
A86,,,,58x24,,,,,,
A87,,,,66x26,,,,,,
A88,,,,6x12,,,,,,
A89,,,,57x27.5,,,,,,
A90,,,,4x5.6,,,,,,
A91,,,,3.14x2.16,,,,,,
A92,,,,4x5,,,,,,
A93,,,,5.5x7,,,,,,
A94,,,,6.8x8.7,,,,,,
A95,,,,3.5x4,,,,,,
A96,,,,55x60,,,,,,
A97,,,,60x70,,,,,,
A98,,,,70x80,,,,,,
A99,,,,80x90,,,,,,
B00,,,,90x100,,,,,,
B01,,,,14x20,,,,,,
B02,,,,20x30,,,,,,
